maker,name,price
レノボ･ジャパン Lenovo,90SM0061JP [デスクトップPC/ IdeaCentre 370i/ Core i3/HDD 1TB/メモリ 8GB/Windows 11 Home /Microsoft Office Home ＆ Business 2021/グレー],"￥117,480"
エイスース ASUS,S500SD-I512400LU [デスクトップパソコン/Core i5-12400/メモリ 16GB/SSD 512GB/Windows 11 Home/WPS Office 2 Standard Edition/ブラック],"￥129,800"
NEC エヌイーシー,PC-A2377GAB [デスクトップパソコン LAVIE/23.8型Full HD/AMD Ryzen7 7730U/メモリ 16GB/SSD 1TB/BDXL/TVチューナー/Windows 11 Home/Office Home ＆ Business 2021/ファインブラック],"￥280,280"
アイ･オー･データ機器 I-O DATA,MPC-LVZ2 [小型デスクトップパソコン/Intel Pentium Silver N5030/メモリー4GB/eMMC 64GB/Windows 10 IoT Enterprise搭載],"￥69,080"
ミニズフォーラム MINISFORUM,UM330-8/256-W10Pro（3300U） [小型デスクトップパソコン/Ryzen3 3300U/メモリ 8GB/SSD 256GB/Windows 10 Pro],"￥47,750"
エイスース ASUS,A3402WBAK-I31215LU [デスクトップパソコン/ASUS A3402WBAK/23.8型/Core i3-1215U/メモリ 8GB/SSD 512GB/Windows 11 Home/ブラック],"￥117,220"
デル DELL,SI60-DNHB [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i5-13400/UHD グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥156,800"
HP,6K5C3PA-AAAC [デスクトップパソコン HP 24-ck0000 AiO G1モデル/23.8型/Core i5-1235U/メモリ 8GB/SSD 256GB＋HDD 2TB/ Windows 11 Home/Office Home ＆ Business 2021/スターリーホワイト],"￥169,800"
ミニズフォーラム MINISFORUM,GK41-8/128-W11Pro（J4125） [ミニPC/Celeron J4125/メモリ 8GB/SSD 128GB/Windows 11 Pro],"￥42,280"
デル DELL,FI577T-CHHBWC [Inspiron 24 5410 フレームレス デスクトップ/一体型デスクトップ/第12世代インテル Core i7-1255U/メモリ16GB/Iris Xe グラフィックス/SSD 512GB/Wi-Fi6E/Windows 11 Home/Office Home&Business 2021/パールホワイト],"￥189,800"
レノボ･ジャパン Lenovo,F0GH00CRJP [一体型デスクトップパソコン IdeaCentre AIO 370i/23.8型/Core i3/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥140,800"
